mapa_key,age_band,population_share_pct,volume_share_pct,informe_page,provenance,note
ACEITES_OLIVA,LT35,8.90,3.14,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1 (143.307,13 mil L), 4.1.2 (37.250,49) e 4.1.3 (138.150,78). O agregado 4.1 ACEITE nao serve: inclui girasol, que e outro grupo."
ACEITES_OLIVA,35_49,30.30,18.17,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1 (143.307,13 mil L), 4.1.2 (37.250,49) e 4.1.3 (138.150,78). O agregado 4.1 ACEITE nao serve: inclui girasol, que e outro grupo."
ACEITES_OLIVA,50_64,31.30,35.61,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1 (143.307,13 mil L), 4.1.2 (37.250,49) e 4.1.3 (138.150,78). O agregado 4.1 ACEITE nao serve: inclui girasol, que e outro grupo."
ACEITES_OLIVA,GE65,29.40,43.08,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1 (143.307,13 mil L), 4.1.2 (37.250,49) e 4.1.3 (138.150,78). O agregado 4.1 ACEITE nao serve: inclui girasol, que e outro grupo."
ACEITE_GIRASOL,LT35,8.90,7.00,69,informe_table,
ACEITE_GIRASOL,35_49,30.30,25.70,69,informe_table,
ACEITE_GIRASOL,50_64,31.30,33.60,69,informe_table,
ACEITE_GIRASOL,GE65,29.40,33.70,69,informe_table,
AGUA,LT35,8.90,5.80,113,informe_table,
AGUA,35_49,30.30,30.40,113,informe_table,
AGUA,50_64,31.30,33.90,113,informe_table,
AGUA,GE65,29.40,29.80,113,informe_table,
ARROZ,LT35,8.89,10.69,82,informe_chart,
ARROZ,35_49,30.33,30.70,82,informe_chart,
ARROZ,50_64,31.34,31.88,82,informe_chart,
ARROZ,GE65,29.44,26.73,82,informe_chart,
BEBIDAS_ESPIRITUOSAS,LT35,8.90,3.10,125,informe_table,
BEBIDAS_ESPIRITUOSAS,35_49,30.30,17.80,125,informe_table,
BEBIDAS_ESPIRITUOSAS,50_64,31.30,34.50,125,informe_table,
BEBIDAS_ESPIRITUOSAS,GE65,29.40,44.60,125,informe_table,
BOLLERIA_PASTELERIA,LT35,8.89,5.83,137,informe_chart,
BOLLERIA_PASTELERIA,35_49,30.33,29.23,137,informe_chart,
BOLLERIA_PASTELERIA,50_64,31.34,33.77,137,informe_chart,
BOLLERIA_PASTELERIA,GE65,29.44,31.17,137,informe_chart,
CAFES_INFUSIONES,LT35,8.89,5.24,168,informe_chart,
CAFES_INFUSIONES,35_49,30.33,23.93,168,informe_chart,
CAFES_INFUSIONES,50_64,31.34,35.37,168,informe_chart,
CAFES_INFUSIONES,GE65,29.44,35.46,168,informe_chart,
CARNE_CERDO,LT35,8.90,4.70,198,informe_table,
CARNE_CERDO,35_49,30.30,26.80,198,informe_table,
CARNE_CERDO,50_64,31.30,37.00,198,informe_table,
CARNE_CERDO,GE65,29.40,31.50,198,informe_table,
CARNE_CONEJO,LT35,8.90,2.50,201,informe_table,
CARNE_CONEJO,35_49,30.30,16.30,201,informe_table,
CARNE_CONEJO,50_64,31.30,31.70,201,informe_table,
CARNE_CONEJO,GE65,29.40,49.50,201,informe_table,
CARNE_FRESCA_OTRAS,LT35,8.90,5.20,184,informe_table,Perfil do agregado CARNE FRESCA: o informe nao publica corte demografico do residuo.
CARNE_FRESCA_OTRAS,35_49,30.30,26.60,184,informe_table,Perfil do agregado CARNE FRESCA: o informe nao publica corte demografico do residuo.
CARNE_FRESCA_OTRAS,50_64,31.30,36.70,184,informe_table,Perfil do agregado CARNE FRESCA: o informe nao publica corte demografico do residuo.
CARNE_FRESCA_OTRAS,GE65,29.40,31.40,184,informe_table,Perfil do agregado CARNE FRESCA: o informe nao publica corte demografico do residuo.
CARNE_OVINO_CAPRINO,LT35,8.90,2.30,195,informe_table,
CARNE_OVINO_CAPRINO,35_49,30.30,17.10,195,informe_table,
CARNE_OVINO_CAPRINO,50_64,31.30,32.60,195,informe_table,
CARNE_OVINO_CAPRINO,GE65,29.40,48.00,195,informe_table,
CARNE_POLLO,LT35,8.90,5.90,191,informe_table,
CARNE_POLLO,35_49,30.30,28.70,191,informe_table,
CARNE_POLLO,50_64,31.30,37.20,191,informe_table,
CARNE_POLLO,GE65,29.40,28.30,191,informe_table,
CARNE_TRANSFORMADA,LT35,8.90,5.30,206,informe_table,"A pagina publica 30,5/31,7/29,0 de populacao, e nao 30,3/31,3/29,4 como as demais. Discrepancia da fonte, registrada verbatim."
CARNE_TRANSFORMADA,35_49,30.50,29.90,206,informe_table,"A pagina publica 30,5/31,7/29,0 de populacao, e nao 30,3/31,3/29,4 como as demais. Discrepancia da fonte, registrada verbatim."
CARNE_TRANSFORMADA,50_64,31.70,37.00,206,informe_table,"A pagina publica 30,5/31,7/29,0 de populacao, e nao 30,3/31,3/29,4 como as demais. Discrepancia da fonte, registrada verbatim."
CARNE_TRANSFORMADA,GE65,29.00,27.80,206,informe_table,"A pagina publica 30,5/31,7/29,0 de populacao, e nao 30,3/31,3/29,4 como as demais. Discrepancia da fonte, registrada verbatim."
CARNE_VACUNO,LT35,8.90,5.30,188,informe_table,
CARNE_VACUNO,35_49,30.30,23.10,188,informe_table,
CARNE_VACUNO,50_64,31.30,36.20,188,informe_table,
CARNE_VACUNO,GE65,29.40,35.40,188,informe_table,
CERVEZA,LT35,8.90,3.60,107,informe_table,
CERVEZA,35_49,30.30,23.80,107,informe_table,
CERVEZA,50_64,31.30,38.10,107,informe_table,
CERVEZA,GE65,29.40,34.60,107,informe_table,
CHOCOLATES_CACAOS,LT35,8.89,6.20,212,informe_chart,
CHOCOLATES_CACAOS,35_49,30.33,31.45,212,informe_chart,
CHOCOLATES_CACAOS,50_64,31.34,33.50,212,informe_chart,
CHOCOLATES_CACAOS,GE65,29.44,28.85,212,informe_chart,
CONSERVAS_PESCADO_MARISCO,LT35,8.90,4.90,427,derived,GE65 fechado por residuo: a tabela da pagina omite a linha.
CONSERVAS_PESCADO_MARISCO,35_49,30.30,25.10,427,derived,GE65 fechado por residuo: a tabela da pagina omite a linha.
CONSERVAS_PESCADO_MARISCO,50_64,31.30,36.70,427,derived,GE65 fechado por residuo: a tabela da pagina omite a linha.
CONSERVAS_PESCADO_MARISCO,GE65,29.40,33.30,427,derived,GE65 fechado por residuo: a tabela da pagina omite a linha.
FRUTAS_FRESCAS,LT35,8.89,3.59,222,informe_chart,
FRUTAS_FRESCAS,35_49,30.33,20.91,222,informe_chart,
FRUTAS_FRESCAS,50_64,31.34,33.23,222,informe_chart,
FRUTAS_FRESCAS,GE65,29.44,42.27,222,informe_chart,
FRUTAS_HORTALIZAS_TRANSFORMADAS,LT35,8.89,6.38,236,informe_chart,
