mapa_key,ccaa_code,ccaa_label,population_share_pct,volume_share_pct,informe_page,provenance,note
ACEITES_OLIVA,09,Cataluna,16.30,16.04,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1, 4.1.2 e 4.1.3."
ACEITES_OLIVA,10,Comunitat Valenciana,11.10,9.34,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1, 4.1.2 e 4.1.3."
ACEITES_OLIVA,01,Andalucia,17.50,17.91,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1, 4.1.2 e 4.1.3."
ACEITES_OLIVA,13,Comunidad de Madrid,13.90,13.55,57;61;65,derived,"Media ponderada por volume das secoes 4.1.1, 4.1.2 e 4.1.3."
ACEITE_GIRASOL,09,Cataluna,16.30,13.90,69,informe_table,
ACEITE_GIRASOL,10,Comunitat Valenciana,11.10,9.90,69,informe_table,
ACEITE_GIRASOL,01,Andalucia,17.50,16.90,69,informe_table,
ACEITE_GIRASOL,13,Comunidad de Madrid,13.90,10.00,69,informe_table,
AGUA,09,Cataluna,16.30,21.60,113,informe_table,
AGUA,10,Comunitat Valenciana,11.10,14.90,113,informe_table,
AGUA,01,Andalucia,17.50,16.10,113,informe_table,
AGUA,13,Comunidad de Madrid,13.90,4.30,113,informe_table,
ARROZ,09,Cataluna,16.26,17.50,84,informe_chart,"A pagina rotula Madrid com 13,78 de populacao; as demais rotulam 13,86. Discrepancia da fonte."
ARROZ,10,Comunitat Valenciana,11.14,14.61,84,informe_chart,"A pagina rotula Madrid com 13,78 de populacao; as demais rotulam 13,86. Discrepancia da fonte."
ARROZ,01,Andalucia,17.52,16.12,84,informe_chart,"A pagina rotula Madrid com 13,78 de populacao; as demais rotulam 13,86. Discrepancia da fonte."
ARROZ,13,Comunidad de Madrid,13.78,13.78,84,informe_chart,"A pagina rotula Madrid com 13,78 de populacao; as demais rotulam 13,86. Discrepancia da fonte."
BEBIDAS_ESPIRITUOSAS,09,Cataluna,16.30,20.80,125,informe_table,
BEBIDAS_ESPIRITUOSAS,10,Comunitat Valenciana,11.10,16.40,125,informe_table,
BEBIDAS_ESPIRITUOSAS,01,Andalucia,17.50,20.70,125,informe_table,
BEBIDAS_ESPIRITUOSAS,13,Comunidad de Madrid,13.90,8.20,125,informe_table,
BOLLERIA_PASTELERIA,09,Cataluna,16.26,16.24,138,informe_chart,
BOLLERIA_PASTELERIA,10,Comunitat Valenciana,11.14,12.04,138,informe_chart,
