province_code,municipality_code,municipality_name
08,001,Abrera
08,002,Aguilar de Segarra
08,003,Alella
08,004,Alpens
08,005,"Ametlla del Vallès, L'"
08,006,Arenys de Mar
08,007,Arenys de Munt
08,008,Argençola
08,009,Argentona
08,010,Artés
08,011,Avià
08,012,Avinyó
08,013,Avinyonet del Penedès
08,014,Aiguafreda
08,015,Badalona
08,016,Bagà
08,017,Balenyà
08,018,Balsareny
08,019,Barcelona
08,020,Begues
08,021,Bellprat
08,022,Berga
08,023,Bigues i Riells del Fai
08,024,Borredà
08,025,"Bruc, El"
08,026,"Brull, El"
08,027,"Cabanyes, Les"
08,028,Cabrera d'Anoia
08,029,Cabrera de Mar
08,030,Cabrils
08,031,Calaf
08,032,Caldes d'Estrac
08,033,Caldes de Montbui
08,034,Calders
08,035,Calella
08,036,Calonge de Segarra
08,037,Calldetenes
08,038,Callús
08,039,Campins
08,040,Canet de Mar
08,041,Canovelles
08,042,Cànoves i Samalús
08,043,Canyelles
08,044,Capellades
08,045,Capolat
08,046,Cardedeu
08,047,Cardona
08,048,Carme
08,049,Casserres
08,050,Castellar del Riu
08,051,Castellar del Vallès
08,052,Castellar de n'Hug
08,053,Castellbell i el Vilar
08,054,Castellbisbal
08,055,Castellcir
08,056,Castelldefels
08,057,Castell de l'Areny
08,058,Castellet i la Gornal
08,059,Castellfollit del Boix
08,060,Castellfollit de Riubregós
08,061,Castellgalí
08,062,Castellnou de Bages
08,063,Castellolí
08,064,Castellterçol
08,065,Castellví de la Marca
08,066,Castellví de Rosanes
08,067,Centelles
08,068,Cervelló
08,069,Collbató
08,070,Collsuspina
08,071,Copons
08,072,Corbera de Llobregat
08,073,Cornellà de Llobregat
08,074,Cubelles
08,075,Dosrius
08,076,Esparreguera
08,077,Esplugues de Llobregat
08,078,"Espunyola, L'"
08,079,"Estany, L'"
08,080,Fígols
08,081,Fogars de Montclús
08,082,Fogars de la Selva
08,083,Folgueroles
08,084,Fonollosa
08,085,Font-rubí
08,086,"Franqueses del Vallès, Les"
08,087,Gallifa
08,088,"Garriga, La"
08,089,Gavà
08,090,Gaià
08,091,Gelida
08,092,Gironella
08,093,Gisclareny
08,094,"Granada, La"
08,095,Granera
08,096,Granollers
08,097,Gualba
08,098,Sant Salvador de Guardiola
08,099,Guardiola de Berguedà
08,100,Gurb
08,101,"Hospitalet de Llobregat, L'"
08,102,Igualada
08,103,Jorba
08,104,"Llacuna, La"
08,105,"Llagosta, La"
08,106,Llinars del Vallès
08,107,Lliçà d'Amunt
08,108,Lliçà de Vall
08,109,Lluçà
08,110,Malgrat de Mar
08,111,Malla
08,112,Manlleu
08,113,Manresa
08,114,Martorell
08,115,Martorelles
08,116,"Masies de Roda, Les"
08,117,"Masies de Voltregà, Les"
08,118,"Masnou, El"
08,119,Masquefa
08,120,Matadepera
08,121,Mataró
08,122,Mediona
08,123,Molins de Rei
08,124,Mollet del Vallès
08,125,Montcada i Reixac
08,126,Montgat
08,127,Monistrol de Montserrat
08,128,Monistrol de Calders
08,129,Muntanyola
08,130,Montclar
08,131,Montesquiu
08,132,Montmajor
08,133,Montmaneu
08,134,Figaró-Montmany
08,135,Montmeló
08,136,Montornès del Vallès
08,137,Montseny
08,138,Moià
08,139,Mura
08,140,Navarcles
08,141,Navàs
08,142,"Nou de Berguedà, La"
08,143,Òdena
08,144,Olvan
08,145,Olèrdola
08,146,Olesa de Bonesvalls
08,147,Olesa de Montserrat
08,148,Olivella
08,149,Olost
08,150,Orís
08,151,Oristà
08,152,Orpí
08,153,Òrrius
08,154,Pacs del Penedès
08,155,Palafolls
08,156,Palau-solità i Plegamans
08,157,Pallejà
08,158,"Papiol, El"
08,159,Parets del Vallès
08,160,Perafita
08,161,Piera
08,162,"Hostalets de Pierola, Els"
08,163,Pineda de Mar
08,164,"Pla del Penedès, El"
08,165,"Pobla de Claramunt, La"
08,166,"Pobla de Lillet, La"
08,167,Polinyà
08,168,Pontons
08,169,"Prat de Llobregat, El"
08,170,"Prats de Rei, Els"
08,171,Prats de Lluçanès
08,172,Premià de Mar
08,174,Puigdàlber
08,175,Puig-reig
08,176,Pujalt
08,177,"Quar, La"
08,178,Rajadell
08,179,Rellinars
08,180,Ripollet
08,181,"Roca del Vallès, La"
08,182,"Pont de Vilomara i Rocafort, El"
08,183,Roda de Ter
08,184,Rubí
08,185,Rubió
08,187,Sabadell
08,188,Sagàs
08,189,Sant Pere Sallavinera
08,190,Saldes
08,191,Sallent
08,192,Santpedor
08,193,Sant Iscle de Vallalta
08,194,Sant Adrià de Besòs
08,195,Sant Agustí de Lluçanès
08,196,Sant Andreu de la Barca
08,197,Sant Andreu de Llavaneres
08,198,Sant Antoni de Vilamajor
08,199,Sant Bartomeu del Grau
08,200,Sant Boi de Llobregat
08,201,Sant Boi de Lluçanès
08,202,Sant Celoni
08,203,Sant Cebrià de Vallalta
08,204,Sant Climent de Llobregat
08,205,Sant Cugat del Vallès
08,206,Sant Cugat Sesgarrigues
08,207,Sant Esteve de Palautordera
08,208,Sant Esteve Sesrovires
08,209,Sant Fost de Campsentelles
08,210,Sant Feliu de Codines
08,211,Sant Feliu de Llobregat
08,212,Sant Feliu Sasserra
08,213,Sant Fruitós de Bages
08,214,Vilassar de Dalt
08,215,Sant Hipòlit de Voltregà
08,216,Sant Jaume de Frontanyà
08,217,Sant Joan Despí
08,218,Sant Joan de Vilatorrada
08,219,Vilassar de Mar
